lane1 det1;lane1 det2;lane2 det1;lane2 det2;lane3 det1;lane3 det2
85.01000000000002;85.03999999999999;86.85999999999999;86.48;86.7;87.2
85.01000000000002;85.03999999999999;86.85999999999999;86.48;86.7;87.2
85.01000000000002;85.03999999999999;86.85999999999999;86.48;86.7;87.2
84.36000000000001;85.03999999999999;86.85999999999999;86.48;86.7;87.2
67.96000000000001;85.03999999999999;86.85999999999999;86.48;86.7;87.2
58.31999999999999;84.99;86.27000000000001;86.48;86.7;87.2
58.31999999999999;84.99;86.27000000000001;86.48;86.7;87.2
57.120000000000005;78.88000000000001;84.74;86.83;86.7;87.2
56.410000000000004;61.67999999999999;84.99;99.25;86.7;87.2
57.58;57.260000000000005;83.63;80.10999999999999;86.6;87.2
57.58;57.260000000000005;83.63;80.10999999999999;86.6;87.2
59.29;56.38000000000001;86.09;84.00000000000001;86.72;87.0
60.0;57.56999999999999;94.83;88.47999999999999;84.08000000000001;87.0
60.14000000000001;58.489999999999995;94.75999999999999;78.36999999999999;118.51000000000002;83.65
60.14000000000001;58.489999999999995;94.75999999999999;78.36999999999999;118.51000000000002;83.65
60.86;58.779999999999994;94.83000000000001;94.28999999999999;127.11999999999998;123.79
58.989999999999995;59.010000000000005;94.5;94.82000000000002;128.49;164.20999999999998
58.989999999999995;59.010000000000005;94.5;94.85;128.49;164.20999999999998
66.53999999999999;59.129999999999995;95.32000000000002;96.08000000000001;128.48;165.86999999999998
78.36999999999999;59.5;86.39999999999999;96.14;128.82;169.44
81.67;61.08;63.63000000000001;96.60999999999999;117.55;170.59
81.67;61.08;63.63000000000001;96.60999999999999;117.55;170.59
84.08;78.03;55.779999999999994;66.32000000000001;128.95999999999998;163.46999999999997
84.69999999999999;79.72;85.13999999999999;59.77;117.45;121.58999999999999
85.33;83.38;85.78999999999999;71.22999999999999;87.44;120.90000000000002
85.18;84.34;85.88;85.65;87.58;129.45999999999998
85.18;84.34;85.88;85.65;87.58;129.45999999999998
85.23;84.27000000000001;85.88;85.55000000000001;87.28;87.0
85.23;84.28;85.88;85.65;87.35;87.77
85.23;84.32000000000001;85.88;85.91;87.35;87.6
85.23;84.32000000000001;85.88;85.91;87.35;87.6
85.28;84.32000000000001;85.86;87.12999999999998;87.35;87.67999999999999
