F 1 2 3 4 5 6 c
580 1 0 1 1 0 0 3
581 1 1 1 1 0 0 4
582 1 1 1 1 1 0 5
583 1 1 1 1 1 0 5
584 1 1 1 1 1 0 5
585 1 1 1 1 1 0 5
586 1 1 1 1 1 1 6
587 0 1 1 1 1 1 5
588 0 0 0 0 1 1 2
589 0 0 0 0 1 1 2
590 0 0 0 0 1 1 2
591 0 0 0 0 1 0 1
592 0 0 0 0 1 0 1
593 0 0 0 0 1 0 1
594 0 0 0 0 0 0 0
595 0 0 0 0 0 0 0
596 0 0 0 0 0 0 0
597 0 0 0 0 0 0 0
598 0 0 0 0 0 0 0
599 0 0 0 0 0 0 0
600 0 0 0 0 0 0 0
601 0 0 0 0 0 0 0
602 0 0 0 0 0 0 0
603 0 0 0 0 0 0 0
604 0 0 0 0 0 0 0
605 1 0 0 0 0 0 1
606 1 0 0 0 0 0 1
607 1 0 1 0 0 0 2
608 1 0 1 0 0 0 2
609 1 1 1 0 0 0 3
610 1 1 1 1 0 0 4
611 1 1 1 1 0 0 4
612 1 1 1 1 0 0 4
613 1 1 1 1 0 0 4
614 1 1 1 1 0 0 4
615 1 1 1 1 0 0 4
616 1 1 1 1 0 0 4
617 0 1 0 1 0 0 2
618 0 1 0 1 0 0 2
619 0 1 0 1 0 0 2
620 0 0 0 0 0 0 0
621 0 0 0 0 0 0 0
622 0 0 0 0 0 0 0
623 0 0 0 0 0 0 0
624 0 0 0 0 0 0 0
625 0 0 0 0 0 0 0
626 0 0 0 0 0 0 0
627 0 0 0 0 0 0 0
628 0 0 0 0 0 0 0
629 0 0 0 0 0 0 0
630 0 0 0 0 0 0 0
631 0 0 1 0 0 0 1
632 0 0 1 0 0 0 1
633 0 0 1 1 1 0 3
634 0 0 1 1 1 0 3
635 0 0 1 1 1 0 3
636 0 0 1 1 1 1 4
637 0 0 1 1 1 1 4
638 0 0 1 1 1 1 4
639 0 0 1 1 1 1 4
640 0 0 1 1 1 1 4
641 0 0 1 1 1 1 4
642 0 0 0 1 1 1 3
643 0 0 0 1 1 1 3
644 0 0 0 1 1 1 3
645 0 0 0 1 0 1 2
646 0 0 0 0 0 0 0
647 0 0 0 0 0 0 0
648 0 0 0 0 0 0 0
649 0 0 0 0 0 0 0
650 0 0 0 0 0 0 0
651 0 0 0 0 0 0 0
652 0 0 0 0 0 0 0
653 0 0 0 0 0 0 0
654 0 0 0 0 0 0 0
655 0 0 0 0 0 0 0
656 0 0 0 0 0 0 0
657 0 0 0 0 0 0 0
658 0 0 0 0 0 0 0
659 0 0 1 0 0 0 1
660 0 0 1 0 0 0 1
661 0 0 1 1 1 1 4
662 0 0 1 1 1 1 4
663 0 0 1 1 1 1 4
664 0 0 1 1 1 1 4
665 0 0 1 1 1 1 4
666 0 0 1 1 1 1 4
667 0 0 1 1 1 1 4
668 0 0 1 1 1 1 4
669 0 0 1 1 1 1 4
670 0 0 1 1 1 1 4
671 0 0 0 1 1 1 3
672 0 0 0 1 1 1 3
673 0 0 0 1 1 1 3
674 0 0 0 1 1 1 3
675 0 0 0 0 1 1 2
676 0 0 0 0 1 1 2
677 0 0 0 0 1 1 2
678 0 0 0 0 1 1 2
679 0 0 0 0 1 1 2
680 0 0 0 0 1 1 2
681 0 0 0 0 1 1 2
682 0 0 0 0 0 1 1
683 0 0 0 0 0 0 0
684 1 0 0 0 0 0 1
685 1 0 0 0 0 0 1
686 1 1 0 0 0 0 2
687 0 1 0 0 0 0 1
688 0 1 0 0 0 0 1
689 0 1 0 0 0 0 1
690 0 1 0 0 0 0 1
691 0 0 0 0 0 0 0
692 0 0 0 0 0 0 0
693 0 0 0 0 0 0 0
694 0 0 0 0 0 0 0
695 0 0 0 0 0 0 0
696 0 0 0 0 0 0 0
697 0 0 0 0 0 0 0
698 0 0 0 0 0 0 0
699 0 0 0 0 0 0 0
700 0 0 0 0 0 0 0
701 0 0 0 0 0 0 0
702 1 0 1 0 0 0 2
703 1 0 1 0 0 0 2
704 1 0 1 0 0 0 2
705 1 1 1 1 0 0 4
706 1 1 1 1 0 0 4
707 1 1 1 1 1 0 5
708 1 1 1 1 1 0 5
709 1 1 1 1 1 1 6
710 1 1 1 1 1 1 6
711 1 1 1 1 1 1 6
712 0 1 1 1 1 1 5
713 0 1 1 1 1 1 5
714 0 1 1 1 1 1 5
715 0 1 0 1 1 1 4
716 0 0 0 0 0 1 1
717 0 0 0 0 0 1 1
718 0 0 0 0 0 1 1
719 0 0 0 0 0 1 1
720 0 0 0 0 0 0 0
721 0 0 0 0 0 0 0
722 0 0 0 0 0 0 0
723 0 0 0 0 0 0 0
724 0 0 0 0 0 0 0
725 0 0 0 0 0 0 0
726 0 0 0 0 0 0 0
727 0 0 0 0 0 0 0
728 0 0 0 0 0 0 0
729 0 0 0 0 0 0 0
730 0 0 0 0 0 0 0
731 0 0 0 0 0 0 0
732 0 0 0 0 0 0 0
733 0 0 0 0 0 0 0
734 0 0 0 0 0 0 0
735 0 0 0 0 0 0 0
736 0 0 0 0 0 0 0
737 0 0 0 0 0 0 0
738 0 0 0 0 0 0 0
739 0 0 0 0 0 0 0
740 0 0 0 0 0 0 0
741 0 0 0 0 0 0 0
742 0 0 0 0 0 0 0
743 0 0 0 0 0 0 0
744 0 0 0 0 0 0 0
745 0 0 0 0 0 0 0
746 0 0 0 0 0 0 0
747 0 0 0 0 0 0 0
748 0 0 0 0 0 0 0
749 0 0 0 0 0 0 0
750 0 0 0 0 0 0 0
751 0 0 0 0 0 0 0
752 0 0 0 0 0 0 0
753 0 0 0 0 0 0 0
754 0 0 0 0 0 0 0
755 0 0 0 0 0 0 0
756 0 0 0 0 0 0 0
757 0 0 0 0 0 0 0
758 0 0 0 0 0 0 0
759 0 0 0 0 0 0 0
760 0 0 0 0 0 0 0
761 0 0 0 0 0 0 0
762 0 0 0 0 0 0 0
763 0 0 0 0 0 0 0
764 1 0 0 0 0 0 1
765 1 0 1 1 0 0 3
766 1 0 1 1 0 0 3
767 1 1 1 1 0 0 4
768 1 1 1 1 1 0 5
769 1 1 1 1 1 1 6
770 1 0 1 1 1 1 5
771 1 0 1 1 1 1 5
772 1 0 1 1 1 1 5
773 0 0 1 1 1 1 4
774 0 0 0 0 1 1 2
775 0 0 0 0 1 1 2
776 0 0 0 0 1 1 2
777 0 0 0 0 1 1 2
778 0 0 0 0 0 0 0
779 0 0 0 0 0 0 0
780 0 0 0 0 0 0 0
781 0 0 0 0 0 0 0
782 0 0 0 0 0 0 0
783 0 0 0 0 0 0 0
784 0 0 0 0 0 0 0
785 0 0 0 0 0 0 0
786 0 0 0 0 0 0 0
787 0 0 0 0 0 0 0
788 0 0 0 0 0 0 0
789 0 0 0 0 0 0 0
790 0 0 0 0 0 0 0
791 0 0 0 0 0 0 0
792 0 0 0 0 0 0 0
793 0 0 0 0 0 0 0
794 0 0 0 0 0 0 0
795 0 0 0 0 0 0 0
796 0 0 0 0 0 0 0
797 0 0 0 0 0 0 0
798 0 0 0 0 0 0 0
799 0 0 0 0 0 0 0
800 0 0 0 0 0 0 0
801 0 0 0 0 0 0 0
802 0 0 0 0 0 0 0
803 0 0 0 0 0 0 0
804 0 0 0 0 0 0 0
805 0 0 0 0 0 0 0
806 0 0 0 0 0 0 0
807 0 0 0 0 0 0 0
808 0 0 0 0 0 0 0
809 0 0 0 0 0 0 0
810 0 0 0 0 0 0 0
811 0 0 0 0 0 0 0
812 1 0 0 0 0 0 1
813 1 0 0 0 0 0 1
814 1 0 1 0 0 0 2
815 1 0 1 0 0 0 2
816 1 0 1 1 0 0 3
817 1 1 1 1 0 0 4
818 1 1 1 1 1 0 5
819 1 1 1 1 1 0 5
820 1 1 1 1 1 0 5
821 1 1 1 1 1 0 5
822 1 1 1 1 1 1 6
823 1 0 1 1 1 1 5
824 1 0 1 1 1 1 5
825 1 0 1 1 1 1 5
826 1 0 1 1 1 1 5
827 1 0 1 1 1 1 5
828 1 0 1 1 1 1 5
829 1 0 1 1 1 1 5
830 1 0 1 1 1 1 5
831 1 0 1 1 1 1 5
832 0 0 1 1 1 1 4
833 0 0 1 1 1 1 4
834 0 0 1 1 1 1 4
835 0 0 1 1 1 1 4
836 0 0 1 1 1 0 3
837 0 0 1 1 1 0 3
838 0 0 1 1 1 0 3
839 0 0 1 1 1 0 3
840 0 0 1 1 1 0 3
841 0 0 1 1 1 0 3
842 1 0 1 1 1 0 4
843 1 0 1 1 1 1 5
844 1 0 1 1 1 1 5
845 1 0 1 1 1 1 5
846 1 1 0 1 1 1 5
847 1 1 0 1 1 1 5
848 0 1 0 1 1 1 4
849 0 1 0 1 1 1 4
850 0 1 0 1 1 1 4
851 0 0 0 0 1 1 2
852 0 0 0 0 1 1 2
853 0 0 0 0 1 1 2
854 0 0 0 0 1 1 2
855 0 0 0 0 1 1 2
856 0 0 0 0 1 1 2
857 0 1 1 0 1 1 4
858 0 1 1 0 1 1 4
859 1 1 1 1 1 1 6
860 1 1 1 1 1 1 6
861 1 1 1 1 1 1 6
862 1 1 1 1 1 1 6
863 1 1 1 1 1 1 6
864 1 1 1 1 1 1 6
865 1 1 1 1 1 1 6
866 1 1 1 1 1 1 6
867 1 1 1 1 1 1 6
868 1 1 1 1 1 1 6
869 1 1 1 1 1 1 6
